bodyId,hemibrain_type,cell_type,neurotransmitter,outgoing_edges,outgoing_synapses,outgoing_mean_synapses,outgoing_median_synapses,outgoing_max_synapses,outgoing_synapse_sd,incoming_edges,incoming_synapses,incoming_mean_synapses,incoming_median_synapses,incoming_max_synapses,incoming_synapse_sd,total_edges,total_synapses,outgoing_incoming_edge_ratio,outgoing_incoming_synapse_ratio
5813024710,DL2d_adPN,DL2d_adPN,acetylcholine,285,2173,7.624561403508772,3.0,69,10.150769774143239,209,1693,8.10047846889952,3.0,79,13.713218277968075,494,3866,1.3636363636363635,1.2835203780271707
823314446,DL2d_vPN,DL2d_vPN,gaba,124,342,2.7580645161290325,2.0,18,3.176056172175164,66,162,2.4545454545454546,1.0,22,3.5395863216866643,190,504,1.878787878787879,2.111111111111111
1734420152,DL2v_adPN,DL2v_adPN,acetylcholine,289,1703,5.892733564013841,2.0,37,7.89859224897519,205,1940,9.463414634146341,3.0,67,13.221153506703711,494,3643,1.4097560975609755,0.8778350515463917
5813038793,DL2v_adPN,DL2v_adPN,acetylcholine,395,3150,7.974683544303797,2.0,77,10.481279763018811,262,2633,10.049618320610687,2.0,92,16.98459466082308,657,5783,1.5076335877862594,1.1963539688568172
5813039465,DL2v_adPN,DL2v_adPN,acetylcholine,341,2790,8.181818181818182,3.0,69,10.800425818501909,250,2779,11.116,2.5,97,17.59171446081032,591,5569,1.364,1.003958258366319
1609542060,DL3_lPN,DL3_lPN,acetylcholine,397,3101,7.811083123425693,3.0,129,12.77454373992571,300,3313,11.043333333333333,2.0,148,15.285076625488205,697,6414,1.3233333333333333,0.9360096589194083
1609883245,DL3_lPN,DL3_lPN,acetylcholine,256,974,3.8046875,2.0,28,4.510655956384031,224,1440,6.428571428571429,2.0,87,8.752413412935255,480,2414,1.1428571428571428,0.6763888888888889
1640568102,DL3_lPN,DL3_lPN,acetylcholine,248,867,3.495967741935484,2.0,48,4.5697455911884175,225,1216,5.404444444444445,3.0,62,6.642058750451133,473,2083,1.1022222222222222,0.7129934210526315
1670934213,DL4_adPN,DL4_adPN,acetylcholine,413,3564,8.62953995157385,3.0,130,12.974800035179353,311,2766,8.893890675241158,2.0,57,10.882287827575741,724,6330,1.3279742765273312,1.2885032537960954
1671102680,DL4_adPN,DL4_adPN,acetylcholine,146,1012,6.931506849315069,4.0,60,8.598843173395034,211,1330,6.303317535545023,4.0,29,6.0720231498261255,357,2342,0.6919431279620853,0.7609022556390977
693483018,DL5_adPN,DL5_adPN,acetylcholine,733,8482,11.57162346521146,4.0,161,18.552373427474294,340,4802,14.123529411764705,2.0,117,21.82883345044789,1073,13284,2.1558823529411764,1.7663473552686382
1700428338,DL5_adPN,DL5_adPN,acetylcholine,118,593,5.02542372881356,3.0,42,6.1428324773316385,156,828,5.3076923076923075,3.0,28,6.085005775293874,274,1421,0.7564102564102564,0.716183574879227
542634818,DM1_lPN,DM1_lPN,acetylcholine,1104,15565,14.09873188405797,6.0,322,24.654020068798275,583,9390,16.106346483704975,2.0,247,26.463338009820504,1687,24955,1.8936535162950257,1.6576144834930777
5813061392,DM1_lPN,DM1_lPN,acetylcholine,359,4818,13.420612813370473,4.0,207,26.66225165492521,443,6959,15.70880361173815,3.0,88,20.768353692126244,802,11777,0.8103837471783296,0.6923408535709153
630714299,DM2_lPN,DM2_lPN,acetylcholine,675,5756,8.527407407407408,3.0,108,11.923485226436478,405,3797,9.375308641975309,3.0,84,12.406576933385349,1080,9553,1.6666666666666667,1.5159336318145904
5813050013,DM2_lPN,DM2_lPN,acetylcholine,191,1221,6.392670157068062,2.0,120,11.950677086790366,279,2301,8.24731182795699,3.0,91,10.253957909981867,470,3522,0.6845878136200717,0.530638852672751
5813054061,DM2_lPN,DM2_lPN,acetylcholine,298,2248,7.543624161073826,4.0,91,10.764064933469118,333,3352,10.066066066066066,2.0,120,14.721567096977243,631,5600,0.8948948948948949,0.6706443914081146
5901222910,DM2_lPN,DM2_lPN,acetylcholine,704,5735,8.146306818181818,3.0,102,11.385269762475316,414,3639,8.789855072463768,3.0,57,11.36673680296823,1118,9374,1.7004830917874396,1.5759824127507558
755518957,DM3_adPN,DM3_adPN,acetylcholine,740,7901,10.677027027027027,5.0,135,14.909279537208322,422,4281,10.144549763033176,2.0,65,13.537331375521429,1162,12182,1.7535545023696681,1.845596823172156
850898421,DM3_adPN,DM3_adPN,acetylcholine,169,1950,11.538461538461538,3.0,154,19.245902470519848,229,3307,14.441048034934498,10.0,61,13.110270205518937,398,5257,0.7379912663755459,0.5896583005745388
1570685283,DM3_vPN,DM3_vPN,gaba,112,271,2.419642857142857,1.5,10,2.0952042746188146,125,246,1.968,1.0,51,4.667899990636116,237,517,0.896,1.1016260162601625
573333835,DM4_adPN,DM4_adPN,acetylcholine,947,12428,13.123548046462513,6.0,241,22.006738946701052,480,6870,14.3125,2.0,119,22.314843585803434,1427,19298,1.9729166666666667,1.8090247452692867
851235543,DM4_adPN,DM4_adPN,acetylcholine,282,2824,10.01418439716312,3.0,120,17.551342403102105,334,3693,11.05688622754491,3.0,69,14.012855440724156,616,6517,0.844311377245509,0.7646899539669645
542652506,DM4_vPN,DM4_vPN,gaba,122,292,2.3934426229508197,1.0,14,2.3760421882095732,75,117,1.56,1.0,15,1.832440404989433,197,409,1.6266666666666667,2.4957264957264957
604031203,DM4_vPN,DM4_vPN,gaba,143,399,2.7902097902097904,1.0,24,3.705445453925364,79,222,2.810126582278481,1.0,81,9.062568761001158,222,621,1.8101265822784811,1.7972972972972974
635416407,DM5_lPN,DM5_lPN,acetylcholine,444,2198,4.95045045045045,3.0,34,5.401887035454804,240,697,2.904166666666667,1.0,17,3.1040504199775647,684,2895,1.85,3.15351506456241
697485362,DM5_lPN,DM5_lPN,acetylcholine,426,2189,5.13849765258216,2.0,39,6.052093199099192,234,534,2.282051282051282,1.0,20,2.6068452439901826,660,2723,1.8205128205128205,4.099250936329588
5901195610,DM5_lPN,DM5_lPN,acetylcholine,153,632,4.130718954248366,2.0,47,6.82361689326269,172,1249,7.261627906976744,4.0,46,7.483012631031417,325,1881,0.8895348837209303,0.5060048038430744
788306624,DM6_adPN,DM6_adPN,acetylcholine,345,2695,7.811594202898551,3.0,50,9.161464038199465,245,1697,6.926530612244898,3.0,33,7.668510646596828,590,4392,1.4081632653061225,1.5880966411314084
881933350,DM6_adPN,DM6_adPN,acetylcholine,139,893,6.424460431654676,2.0,68,9.492925220170115,177,1567,8.853107344632768,5.0,42,8.196514222715923,316,2460,0.7853107344632768,0.5698787492022974
882615309,DM6_adPN,DM6_adPN,acetylcholine,169,988,5.846153846153846,2.0,54,8.609933355198075,182,1638,9.0,6.0,32,8.26829129167435,351,2626,0.9285714285714286,0.6031746031746031
913649999,DM6_adPN,DM6_adPN,acetylcholine,140,762,5.442857142857143,2.0,43,7.753645166032553,189,1675,8.862433862433862,5.0,32,8.850538894646798,329,2437,0.7407407407407407,0.45492537313432835
1764091241,DM6_adPN,DM6_adPN,acetylcholine,347,2471,7.121037463976945,3.0,55,8.907182986059473,236,1862,7.889830508474576,4.0,43,8.575853184581158,583,4333,1.4703389830508475,1.3270676691729324
5813039235,DM6_adPN,DM6_adPN,acetylcholine,339,2517,7.424778761061947,4.0,72,8.75890617890776,202,1422,7.03960396039604,4.0,35,7.0702527164319315,541,3939,1.6782178217821782,1.770042194092827
5813070872,DM6_adPN,DM6_adPN,acetylcholine,337,2647,7.85459940652819,3.0,56,9.702398355150313,223,1434,6.430493273542601,3.0,28,6.5059476066203965,560,4081,1.5112107623318385,1.8458856345885635
724816115,DP1l_adPN,DP1l_adPN,acetylcholine,863,12504,14.48899188876014,8.0,318,26.01480136925587,406,7132,17.56650246305419,2.0,163,32.793619690854335,1269,19636,2.125615763546798,1.7532249018508133
730213826,DP1l_vPN,DP1l_vPN,gaba,131,307,2.3435114503816794,1.0,14,2.2829501573669377,75,176,2.3466666666666667,2.0,23,2.7826359918363495,206,483,1.7466666666666666,1.7443181818181819
635062078,DP1m_adPN,DP1m_adPN,acetylcholine,1239,18132,14.634382566585957,7.0,390,27.843802953731394,629,12443,19.782193958664546,2.0,240,42.56103074986535,1868,30575,1.9697933227344993,1.457204854134855
1006068474,DP1m_adPN,DP1m_adPN,acetylcholine,388,4184,10.783505154639176,3.0,203,21.579479583700167,525,7272,13.851428571428572,3.0,143,25.957481802072163,913,11456,0.7390476190476191,0.5753575357535754
635048729,DP1m_vPN,DP1m_vPN,gaba,133,373,2.8045112781954886,1.0,17,3.2132741883227975,84,252,3.0,1.0,59,6.508567106754953,217,625,1.5833333333333333,1.4801587301587302
1536947502,D_adPN,D_adPN,acetylcholine,457,3138,6.866520787746171,3.0,69,8.71236993258553,270,2287,8.47037037037037,3.0,76,12.555492135394143,727,5425,1.6925925925925926,1.3721031919545257
1671076884,D_adPN,D_adPN,acetylcholine,187,1099,5.877005347593583,3.0,97,9.24812422800053,208,1826,8.778846153846153,3.5,66,13.442277190026683,395,2925,0.8990384615384616,0.6018619934282585
5812994744,D_adPN,D_adPN,acetylcholine,182,1106,6.076923076923077,3.0,116,10.501492416148569,232,1914,8.25,3.0,62,13.408903806750992,414,3020,0.7844827586206896,0.5778474399164054
5813038889,D_adPN,D_adPN,acetylcholine,435,3179,7.308045977011494,3.0,67,9.370106629421523,274,2332,8.510948905109489,3.0,76,13.033974645785412,709,5511,1.5875912408759123,1.3632075471698113
5813055184,D_adPN,D_adPN,acetylcholine,429,3342,7.79020979020979,3.0,66,9.27904871467669,284,2343,8.25,3.0,64,12.61935946138106,713,5685,1.5105633802816902,1.4263764404609476
603349484,M_vPNml85,DM3_vPN,gaba,120,298,2.4833333333333334,1.0,17,2.68823560058595,54,120,2.2222222222222223,1.0,23,3.7450176545250633,174,418,2.2222222222222223,2.4833333333333334
635407942,M_vPNml85,DM3_vPN,gaba,113,226,2.0,1.0,10,1.7677669529663689,56,125,2.232142857142857,1.0,21,3.722125841400419,169,351,2.017857142857143,1.808
634379734,M_vPNml88,DM3_vPN,gaba,130,289,2.223076923076923,1.0,10,1.909849560272793,60,100,1.6666666666666667,1.0,8,1.3612888542233674,190,389,2.1666666666666665,2.89
